"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
14.07,12.67,138,2,90.86,24.96,"Gamma","database","crítica","success"
13.48,7.04,131,3,91.08,0.33,"Gamma","auth","media","success"
11.14,10.35,115,4,74.66,21.87,"Alpha","ui","crítica","success"
12.26,8,122,1,97.73,22.33,"Gamma","ui","baja","success"
11.86,11.33,126,1,69.88,20.15,"Alpha","database","media","success"
20.51,10.33,121,2,78.96,25.9,"Gamma","database","crítica","success"
9.03,6.38,120,0,61.87,4.53,"Gamma","auth","media","success"
7.62,8.71,111,2,72.03,24.46,"Delta","ui","media","success"
12.15,7.64,126,1,72.78,11.47,"Delta","ui","media","success"
13.24,9.26,128,2,70.14,16.34,"Gamma","api","baja","success"
13.75,7.88,124,1,72.57,21.91,"Alpha","ui","alta","success"
10.17,9.18,129,1,88.74,1.98,"Alpha","database","baja","success"
7.75,7.71,147,1,64.08,4.98,"Alpha","ui","baja","success"
17.05,10.39,121,3,71.26,12.86,"Delta","auth","baja","success"
10.6,8.78,130,5,86.3,7.36,"Beta","api","alta","success"
8.54,4.71,132,1,57.45,24.71,"Beta","api","baja","success"
11.05,7.95,106,1,87.11,21.23,"Delta","auth","baja","success"
11.21,7.16,131,1,72.2,2.63,"Gamma","payments","media","success"
16.44,10.79,100,4,88.3,5.56,"Gamma","ui","crítica","success"
12.34,5.12,111,3,63.81,5.91,"Gamma","payments","media","success"
15.02,2.89,96,1,71.53,13.56,"Delta","database","baja","success"
10,9.17,130,3,77.43,12.81,"Gamma","database","baja","success"
12.86,10.35,127,2,74.71,19.62,"Alpha","ui","media","success"
10.7,9.13,119,1,66.93,10.66,"Alpha","api","crítica","success"
12.38,11.38,120,2,82.75,6.04,"Gamma","ui","media","success"
8.42,10.25,140,3,84.48,10.95,"Alpha","api","media","success"
6.76,5.67,105,1,95.03,7.32,"Beta","payments","media","success"
19.99,10.33,100,2,91.22,5.08,"Alpha","database","alta","success"
14.4,6.53,122,1,69.78,5.71,"Delta","api","baja","success"
6.99,10.76,115,0,77.03,4.67,"Beta","api","alta","success"
9.56,10.48,134,1,91.05,11.63,"Alpha","auth","alta","success"
7.26,7.88,112,3,63.24,11.03,"Delta","api","media","success"
20.8,10.67,119,1,59.66,17.2,"Alpha","auth","alta","success"
17.25,7.33,121,4,82.85,6.86,"Delta","database","crítica","failed"
10.94,10.53,120,2,68.37,18.35,"Beta","payments","crítica","success"
14.17,2.23,132,7,83.89,12.39,"Gamma","ui","crítica","failed"
10.34,5.37,130,1,100,16.67,"Delta","api","media","failed"
10.1,8.37,129,0,89.76,17.52,"Delta","auth","alta","success"
8.85,6.72,112,2,86.05,20.48,"Beta","api","media","success"
9.62,1.33,106,3,74.77,4.72,"Alpha","auth","crítica","success"
18.6,5.91,129,2,97.41,4.18,"Alpha","ui","crítica","success"
11.78,12.03,123,2,62.22,6.95,"Beta","payments","media","success"
12.48,4.98,115,2,90.68,2.85,"Beta","database","alta","success"
12.97,8.42,126,2,92.17,5.62,"Beta","payments","crítica","success"
16.93,6.77,109,0,60.72,2.86,"Gamma","payments","alta","success"
9.94,8.05,138,1,66.41,26.97,"Gamma","api","alta","failed"
8.03,7.56,135,2,63.3,18.22,"Beta","auth","alta","failed"
18.7,7.66,115,2,83.86,25.6,"Gamma","database","alta","success"
10.24,7.69,134,1,88.89,21.44,"Beta","payments","media","success"
9.11,2.56,125,2,69.3,6.04,"Alpha","database","alta","failed"
7.05,8,116,2,92.71,3.13,"Alpha","auth","media","rolled_back"
6.86,8.32,119,2,69.57,12.93,"Beta","api","media","success"
9.7,9.03,132,1,57.98,13.07,"Beta","ui","alta","success"
14.47,11.42,123,3,67.09,17.6,"Gamma","payments","alta","success"
16.44,8.09,117,1,89.38,4.3,"Delta","auth","alta","success"
14.83,8.68,111,1,79.37,8.64,"Beta","payments","crítica","failed"
10.55,4.43,125,2,78.54,10.55,"Beta","ui","baja","success"
12.24,8.25,136,1,83.87,15.01,"Delta","auth","alta","success"
9.18,4.11,115,6,69.7,9.04,"Beta","payments","media","success"
9.13,13,119,3,91.16,13.71,"Beta","api","alta","failed"
15.54,7.11,136,0,70.83,6.18,"Alpha","ui","baja","success"
7.94,8.88,122,4,72.25,11.7,"Alpha","ui","media","success"
19.82,9.1,108,2,66.82,4.92,"Alpha","ui","alta","success"
11.64,4.73,87,3,71.74,10.03,"Beta","payments","alta","success"
12.86,9.17,110,2,91.16,6.41,"Delta","auth","baja","success"
9.05,5.32,150,3,88.66,7.93,"Delta","api","baja","success"
9.7,9.15,107,1,76.85,9.85,"Gamma","ui","media","failed"
6.73,6.45,104,0,69.62,25.32,"Gamma","api","baja","rolled_back"
11.27,6.3,119,1,77.05,19.3,"Beta","ui","media","success"
13.68,9.04,124,3,66.42,2.6,"Alpha","auth","media","success"
13.3,8.92,129,2,73.99,12.48,"Beta","payments","media","success"
8.87,7.38,117,6,69.51,8.33,"Gamma","ui","baja","success"
8.85,6.16,119,2,75.64,34.97,"Alpha","ui","alta","success"
9.99,8.49,111,2,72.4,16.93,"Alpha","database","media","success"
17.98,7.88,117,2,75.47,22.55,"Delta","api","baja","success"
7.45,10.4,119,4,84.24,11.96,"Alpha","payments","alta","success"
11.28,6.42,119,0,83.11,3.07,"Beta","api","baja","success"
19.61,7.69,123,1,72.69,17.1,"Beta","auth","baja","success"
11.6,13.68,127,3,86.67,16.26,"Delta","database","media","rolled_back"
6.56,4.79,121,2,55.07,9.82,"Gamma","database","alta","failed"
9.34,8.79,126,2,93.57,17.52,"Beta","ui","crítica","success"
13.94,9.03,112,0,93,21.14,"Beta","database","baja","success"
10.5,6.88,138,1,86.72,15.93,"Delta","database","crítica","success"
9.75,6.23,105,1,81.73,7.48,"Gamma","payments","alta","success"
10.62,4.36,121,3,67.02,14.59,"Beta","payments","media","success"
12.36,4.46,124,2,59.98,10.92,"Gamma","ui","media","success"
18.39,7.34,127,2,90.11,5.61,"Alpha","payments","crítica","rolled_back"
11.65,11.13,126,1,78.24,6.53,"Alpha","payments","baja","success"
16.32,8.13,116,1,99.02,9.97,"Gamma","auth","media","failed"
14.52,11.86,112,2,69.29,13.06,"Delta","database","baja","success"
11.55,6.49,112,2,65.15,2.57,"Beta","ui","media","success"
5.87,9.45,136,0,69.22,4.79,"Beta","ui","alta","success"
9.92,8.31,136,1,75.96,10.13,"Beta","database","crítica","success"
10.04,8.91,139,3,63.22,4.34,"Gamma","database","media","success"
12.19,8.51,97,0,100,7.2,"Alpha","payments","media","success"
17.2,9.94,122,3,60.06,11.3,"Alpha","api","media","success"
21.17,7.98,112,2,59.12,13.67,"Gamma","ui","media","success"
18.19,10.42,109,1,74.4,11.95,"Beta","api","alta","failed"
11.47,9.23,151,6,68.83,14.21,"Beta","auth","alta","success"
4.97,7.98,108,0,64.61,19.74,"Beta","api","baja","success"
10.44,7.72,114,2,100,22.83,"Alpha","auth","baja","success"
12.36,4.81,99,3,66.69,3.76,"Alpha","auth","alta","success"
15.38,6.38,110,1,92.34,15.51,"Gamma","auth","crítica","success"
15.85,7.34,105,3,95.13,4.64,"Beta","api","media","success"
14.74,10.34,120,3,72.26,14.48,"Beta","ui","media","success"
6.42,9.98,124,1,85.7,12.4,"Gamma","api","baja","success"
15.4,5.98,108,1,57.59,34.89,"Gamma","ui","alta","success"
10.21,6.81,122,1,73.15,34,"Delta","payments","media","success"
12.7,12.34,114,0,71.37,9.97,"Alpha","payments","media","failed"
12.3,4.47,116,2,83.88,10.26,"Beta","ui","baja","success"
13.71,8.45,120,1,94.94,2.42,"Beta","database","alta","success"
12.1,8.69,126,2,61.56,11.01,"Alpha","database","media","success"
5.33,6.75,121,3,95.79,2.86,"Delta","auth","baja","success"
14.95,4.57,120,5,99.67,7.67,"Beta","api","alta","success"
13.54,7.02,107,3,74.26,12.93,"Gamma","ui","baja","success"
10.94,14.72,124,0,59.19,6.18,"Alpha","database","baja","rolled_back"
12.47,7.73,150,1,84.54,8.75,"Beta","payments","baja","success"
12.54,7.44,133,0,79.23,12.66,"Gamma","ui","baja","success"
12.88,8.45,132,4,68.51,3.28,"Delta","ui","alta","failed"
18.56,5.08,127,3,100,3.37,"Delta","payments","crítica","rolled_back"
11.12,9.88,116,1,69.33,18.15,"Delta","database","baja","success"
12.67,9.8,119,2,80.67,19.92,"Delta","auth","alta","success"
16.67,7.13,113,3,83.16,21.84,"Gamma","api","baja","success"
16.22,8.15,123,0,59.8,20.09,"Gamma","api","media","success"
16.58,6.74,110,0,95.55,6.99,"Delta","api","alta","success"
9.69,9.72,111,0,100,10.86,"Gamma","ui","alta","success"
20.01,3.85,119,2,84.64,3.38,"Gamma","ui","baja","success"
12.27,7.44,106,1,92.1,6.38,"Beta","ui","alta","success"
19.47,9.56,116,5,70.91,17.08,"Alpha","api","baja","success"
6.6,12.22,125,2,74.41,21.69,"Beta","api","media","success"
12.08,5.73,134,0,84.68,16.32,"Beta","payments","crítica","success"
17,5.2,110,2,81.8,12.95,"Alpha","payments","baja","success"
9.14,7.73,120,1,68.24,9.47,"Alpha","ui","alta","success"
8.99,7.86,132,4,78.82,6.39,"Delta","payments","baja","failed"
8.25,9.9,117,5,92.86,24.02,"Beta","auth","media","success"
7.79,7.71,115,2,69.32,8.76,"Gamma","auth","alta","failed"
10.25,6.56,134,2,71.98,13.32,"Alpha","payments","media","success"
13.32,12.72,129,0,64.8,16.17,"Gamma","auth","crítica","success"
3.94,7.18,109,4,87.06,32.37,"Beta","ui","baja","success"
12.85,10.2,117,2,68.26,13.35,"Gamma","ui","media","success"
16.95,9.86,131,2,84.97,8.71,"Alpha","payments","media","success"
20.15,6.9,132,0,66.41,16.2,"Gamma","api","media","success"
17.2,12.16,115,5,65.74,7.15,"Alpha","auth","media","success"
15.03,5.11,118,2,76.98,12.93,"Beta","auth","alta","rolled_back"
5.09,5.66,111,2,63.18,23.71,"Beta","payments","crítica","success"
9.59,10.92,118,1,95.56,23.44,"Alpha","payments","media","success"
10.59,4.11,108,2,81.45,22.4,"Alpha","auth","crítica","success"
14.81,9.59,128,0,74.06,2.3,"Delta","database","alta","success"
11.58,8.49,129,0,61.15,2.74,"Alpha","auth","baja","success"
6.97,9.85,117,0,49.44,9.73,"Gamma","payments","media","success"
18.74,9.95,125,0,95.87,30.36,"Alpha","api","media","success"
15.65,6.34,135,3,99.65,12.34,"Gamma","ui","alta","success"
12.95,6.29,119,1,88.07,8.07,"Beta","database","alta","success"
16.87,10.04,126,3,66.43,11.27,"Delta","payments","media","success"
6.64,10.22,129,3,94.96,15.39,"Alpha","database","media","success"
14.64,5.22,126,1,87.77,17.28,"Alpha","database","media","success"
9.91,4.92,147,2,62.14,16.34,"Alpha","database","media","failed"
14.73,5.31,124,2,99.47,12.17,"Beta","api","alta","success"
11.76,7.96,132,4,57.41,7.36,"Gamma","payments","alta","success"
14.53,7.95,122,1,55.03,14.08,"Alpha","auth","media","success"
17.34,13.82,139,5,84.38,9.97,"Gamma","auth","baja","success"
12.03,9.34,115,0,64.55,15.38,"Alpha","ui","alta","success"
16.07,7.62,102,3,52.55,18.22,"Beta","database","alta","success"
7.25,6.68,122,4,62.18,17.4,"Gamma","auth","alta","success"
9.11,6.66,134,2,100,23.04,"Beta","payments","media","success"
18.08,6.45,118,1,84.09,9.8,"Delta","api","baja","success"
13.51,5.26,118,0,61.87,10.23,"Gamma","ui","crítica","rolled_back"
3.79,8.44,121,2,72.52,7.19,"Delta","database","baja","success"
6.54,0.03,127,3,83.05,15.49,"Beta","database","alta","success"
11.2,5.08,110,1,74.2,11.08,"Gamma","api","alta","success"
15.46,10.48,115,5,82.31,13.05,"Delta","database","crítica","success"
11.59,8.37,114,2,74.89,8.1,"Alpha","database","baja","success"
14.5,9.39,118,1,88.36,8.1,"Beta","auth","baja","success"
15.84,6.53,136,0,87.83,15.68,"Beta","auth","baja","success"
18.68,11.52,132,1,89.26,12.59,"Alpha","auth","alta","success"
12.22,7.26,125,4,75.77,20.97,"Alpha","database","baja","success"
11.79,9.47,118,3,58.98,16.03,"Delta","auth","alta","success"
4.99,8.03,130,1,100,6.88,"Gamma","api","media","success"
12.4,9.2,115,2,72.27,13.8,"Alpha","api","media","failed"
9.71,6.9,134,2,72.22,3.18,"Alpha","ui","media","success"
8.1,11.11,115,0,100,13.27,"Gamma","api","alta","rolled_back"
11.28,6.71,137,1,89.61,13.44,"Beta","payments","alta","failed"
16.06,15.15,118,0,76.81,15.44,"Beta","auth","crítica","success"
4.03,7.6,141,1,86.46,6.43,"Alpha","auth","alta","success"
10.29,8.32,108,4,82.18,14.1,"Gamma","database","baja","success"
12.47,6.45,123,4,79.88,4.38,"Alpha","database","alta","failed"
8.43,9.83,135,4,72.39,20.61,"Gamma","api","media","success"
13.34,8.47,127,1,93.08,6.93,"Beta","database","media","success"
13.65,9.59,117,1,86.33,8.97,"Beta","database","media","success"
11.87,9.78,132,3,75.83,8.9,"Gamma","auth","media","success"
2.14,6.08,128,3,87.26,12.09,"Alpha","api","alta","success"
22.29,10.06,117,1,77.86,3.73,"Beta","payments","crítica","success"
11.18,5.03,108,0,80.4,24.53,"Alpha","payments","media","failed"
14.6,8.38,133,1,95.57,1.98,"Beta","api","alta","success"
13.1,10.28,111,1,82.38,3.67,"Beta","auth","baja","success"
16.1,4.02,141,2,82.5,7.68,"Beta","auth","media","success"
15.27,6.9,127,1,87.64,2.95,"Alpha","ui","media","success"
11.16,6.99,123,0,72.06,10.81,"Beta","ui","alta","success"
13.51,2.84,127,2,64.83,9.57,"Delta","database","baja","failed"
8.22,7.49,114,5,92.42,19.31,"Delta","auth","media","failed"
15.43,11.52,106,1,93.44,10.62,"Alpha","payments","media","success"
10.16,4.48,131,1,87.33,23.22,"Delta","ui","media","success"
21.67,5.25,116,1,91.09,17.06,"Delta","payments","baja","success"
5.4,7.02,115,1,94.89,15.73,"Alpha","database","media","success"
10.14,7.85,126,2,71.68,32.4,"Alpha","api","media","success"
15.3,8.26,123,1,94.46,3.45,"Delta","database","alta","success"
14.04,8.47,97,1,79.82,6.16,"Beta","database","media","success"
9.64,7.3,120,1,49.88,20.96,"Beta","auth","crítica","success"
8.01,13.9,118,1,84.09,8.85,"Alpha","auth","media","success"
12.58,6.88,144,3,82.16,8.06,"Gamma","auth","alta","success"
11.94,4.66,130,3,36.14,6.27,"Gamma","payments","baja","success"
4.84,4.09,126,1,65.68,8.05,"Delta","ui","media","success"
12.14,7.5,114,1,65.05,11.51,"Gamma","api","media","success"
12.76,6.65,126,2,73.85,21.32,"Beta","api","alta","success"
12.7,10.62,119,4,74.44,6.14,"Alpha","database","baja","success"
7.78,7.53,119,1,83.14,14.01,"Alpha","api","alta","rolled_back"
13.9,8.2,138,0,83.46,7.1,"Alpha","payments","media","success"
17.51,3.96,136,1,54.32,11.17,"Alpha","auth","crítica","success"
13.82,7.4,137,1,76.77,20.5,"Alpha","auth","alta","success"
7.46,7.32,124,4,70.58,6.17,"Beta","database","media","success"
10.26,4.49,100,0,81.26,2.84,"Beta","database","media","success"
13.38,5.72,115,3,75.88,11.3,"Alpha","payments","media","success"
9.41,5.82,123,2,64.88,9.38,"Alpha","api","baja","rolled_back"
3.37,10.07,109,1,70.65,14.49,"Alpha","payments","media","success"
15.54,9.4,113,2,85.08,15.34,"Alpha","api","alta","success"
8.68,9.74,107,2,72.17,5.4,"Beta","ui","media","success"
9.71,11.51,140,3,75.05,1.8,"Beta","payments","media","success"
18.02,7.2,119,2,60.87,5.55,"Beta","auth","crítica","failed"
8.9,10.96,120,1,77.5,5.79,"Gamma","payments","media","success"
15.38,7.34,110,0,81.58,10.07,"Delta","auth","baja","success"
6.96,10.89,128,0,62.34,33.59,"Gamma","payments","media","success"
10.58,4.87,107,2,100,15.3,"Gamma","database","media","success"
11.71,6.49,109,1,100,23.43,"Beta","database","baja","failed"
7.33,10.28,126,3,81.81,21.4,"Gamma","ui","media","failed"
9.46,12.14,118,0,87.98,3,"Alpha","payments","alta","success"
11.88,7.9,118,2,58.99,29.05,"Delta","ui","media","failed"
14.68,7.17,126,1,77.54,3.02,"Alpha","auth","crítica","success"
5.4,9.57,147,0,82.52,8.12,"Alpha","database","media","success"
10.6,7.7,119,3,70.1,12.43,"Delta","ui","alta","success"
